north,east,south,west,sn,hn,dn,cn,pn,ln,ctn,ss,hs,ds,cs,ps,ls,cts,tcn,tdn,thn,tsn,tnn,tce,tde,the,tse,tne,tcs,tds,ths,tss,tns,tcw,tdw,thw,tsw,tnw,parNS,parEW
 n QJ9652.AK84.9.A8 ,e AKT743.J3.J87.J6 ,s 8.9762.AK532.K73 ,w .QT5.QT64.QT9542 ,6,4,1,2,14,500,5,1,4,5,3,10,700,4,7,8,10,9,8,6,4,3,4,5,7,8,10,9,8,6,4,3,4,5,420,-420
 n AJT9852.J8.A85.K ,e Q764.32.KJ92.AQ4 ,s K.KQ965.T43.8763 ,w 3.AT74.Q76.JT952 ,7,2,3,1,13,600,5,1,5,3,4,8,750,2,3,4,6,8,4,9,8,7,5,7,3,4,6,8,4,9,8,7,5,7,-100,100
 n AK87653.A5.AT6.K ,e 92.JT9874.3.AQ64 ,s J4.Q2.KQJ5.98732 ,w QT.K63.98742.JT5 ,7,2,3,1,18,450,8,2,2,4,5,9,800,1,7,9,4,12,10,6,3,8,1,1,7,9,4,12,10,6,3,8,1,1,980,-980
 n AJ942.KQ5.KQ62.A ,e K765.J87.T95.T85 ,s .A9643.J874.K432 ,w QT83.T2.A3.QJ976 ,5,3,4,1,19,400,6,0,5,4,4,8,700,3,8,12,12,8,11,4,1,1,4,2,8,12,12,8,11,4,1,1,4,2,980,-980
 n AQJT842.AQ94.K.T ,e K5.2.AT9875.9532 ,s .KJ7653.QJ64.A87 ,w 9763.T8.32.KQJ64 ,7,4,1,1,16,300,5,0,6,4,3,11,600,3,5,6,12,11,8,7,6,0,2,2,5,6,12,11,8,7,6,0,2,2,980,-980
 n KQJT83.A5.8.A732 ,e 65.J83.AJ95.J965 ,s 7.K4.QT6432.KQT8 ,w A942.QT9762.K7.4 ,6,2,1,4,14,500,5,1,2,6,4,10,550,2,11,8,5,10,10,2,5,8,2,3,11,8,5,10,10,2,5,8,2,3,430,-430
 n KT973.5.AQT5.AK3 ,e J.QT84.K9432.J52 ,s 54.AKJ963.86.QT9 ,w AQ862.72.J7.8764 ,5,1,4,3,16,500,6,2,6,2,3,10,700,3,9,9,10,9,10,4,4,3,3,2,9,9,10,9,10,4,4,3,4,3,430,-430
 n K65432.96.AK.Q86 ,e QJ7.J7.J83.AKT74 ,s A.AT82.QT975.J92 ,w T98.KQ543.642.53 ,6,2,2,3,12,650,4,1,4,5,3,11,750,4,7,8,7,9,8,4,4,5,3,4,7,8,7,9,8,4,4,5,3,4,140,-140
 n AKQJ82.K.84.K984 ,e 9543.T972.KQ3.Q3 ,s T7.A6543.A96.J65 ,w 6.QJ8.JT752.AT72 ,6,1,2,4,16,450,5,2,5,3,3,9,900,4,9,6,8,10,9,3,7,3,2,3,9,6,8,10,9,3,7,3,2,3,420,-420
 n KQJ97.AK85.JT2.A ,e 643.J742.Q.KQ954 ,s A8.Q96.A9875.T32 ,w T52.T3.K643.J876 ,5,4,3,1,18,500,6,2,3,5,3,10,850,4,7,12,11,12,10,6,1,2,1,1,7,12,11,12,10,6,1,2,1,1,980,-980
 n AK7653.A8.Q.JT83 ,e JT4.Q952.AT2.AQ6 ,s Q9.K63.9843.K752 ,w 82.JT74.KJ765.94 ,6,2,1,4,14,600,5,2,3,4,4,8,900,2,11,5,5,11,7,2,7,7,2,5,11,5,5,11,7,2,7,7,2,5,450,-450
 n KQJ83.J74.AKQ.T8 ,e T.9852.T9754.J42 ,s 74.A63.J863.KQ97 ,w A9652.KQT.2.A653 ,5,3,3,2,16,600,4,2,3,4,4,10,800,3,7,8,7,9,10,4,4,5,4,3,8,9,7,9,10,4,4,6,4,3,430,-430
 n AQJ974.974.AJT5. ,e KT32.AJ6.6.T8653 ,s 5.KQ83.8432.AJ92 ,w 86.T52.KQ97.KQ74 ,6,3,4,0,12,500,4,1,4,4,4,10,700,3,6,9,9,9,7,7,4,4,4,5,6,9,9,9,8,7,4,4,4,5,140,-140
 n AT763.AJ2.AQ83.K ,e QJ542.84.KJ64.T6 ,s 9.KQ976.97.AJ542 ,w K8.T53.T52.Q9873 ,5,3,4,1,18,550,7,1,5,2,5,10,600,3,9,9,11,9,10,4,4,2,4,3,9,9,11,9,10,4,4,2,4,3,450,-450
 n J7543.A7.AK5.J65 ,e KQ6.T96543.632.7 ,s 2.KJ2.JT9.AT9842 ,w AT98.Q8.Q874.KQ3 ,5,2,3,3,13,800,5,1,3,3,6,9,800,3,10,7,7,7,8,3,5,5,6,5,10,7,7,7,8,3,5,5,6,5,130,-130
 n KQJ32.7.KQT.AKT3 ,e A8.K8.8643.Q9875 ,s 74.Q543.AJ9752.J ,w T965.AJT962..642 ,5,1,3,4,18,400,5,2,4,6,1,8,750,2,6,11,5,7,9,6,2,8,4,4,6,11,5,8,9,6,2,8,4,4,400,-400
 n KT982.K73.K.KQ97 ,e Q75.AQ942.Q7.AJ6 ,s AJ.865.AJT52.T54 ,w 643.JT.98643.832 ,5,3,1,4,14,550,4,2,3,5,3,10,850,4,10,9,8,10,8,3,4,5,3,3,8,7,7,8,7,3,4,5,3,3,420,-420
 n AK6542.KT7.Q52.9 ,e J93.AJ82.9763.Q2 ,s T8.Q43.A8.A76543 ,w Q7.965.KJT4.KJT8 ,6,3,3,1,12,650,4,2,3,2,6,10,750,4,8,6,7,9,7,5,6,6,4,5,8,7,7,9,7,5,6,6,4,5,140,-140
 n KJT93.KJ874.T.AK ,e A84.Q953.AK52.T5 ,s Q5.AT.Q6.QJ97432 ,w 762.62.J98743.86 ,5,5,1,2,15,450,5,2,2,2,7,11,700,2,11,6,9,10,6,2,7,2,2,3,11,6,9,10,6,1,7,2,2,3,420,-420
 n AKQ72.Q5.QT6.862 ,e 9543.98763.9.KT5 ,s T6.K2.AJ8752.Q97 ,w J8.AJT4.K43.AJ43 ,5,2,3,3,13,750,3,2,2,6,3,10,750,3,4,8,4,7,5,9,5,9,6,6,4,8,4,7,5,9,5,9,6,6,-140,140
 n AKJT6.K2.T62.QJ7 ,e 843.8753.K8.9432 ,s .QT96.AJ975.K865 ,w Q9752.AJ4.Q43.AT ,5,2,3,3,14,650,4,0,4,5,4,10,650,3,9,10,8,7,10,4,3,4,5,3,9,10,8,7,10,4,3,4,5,3,430,-430
 n AKQJ764.QT7.AJ5. ,e 95.654.T973.AJT7 ,s T.AKJ832.Q42.953 ,w 832.9.K86.KQ8642 ,7,3,3,0,17,450,5,1,6,3,3,10,700,3,5,8,13,13,7,7,4,0,0,0,5,8,13,13,7,7,4,0,0,0,1510,-1510
 n KJ982.AT7.AJT9.8 ,e AQ.QJ86432.63.A6 ,s 53.K5.KQ8542.942 ,w T764.9.7.KQJT753 ,5,3,4,1,13,650,5,2,2,6,3,8,700,2,2,10,5,8,4,10,3,8,5,5,2,10,5,8,4,10,3,8,5,5,100,-100
