218002, n AT962.J9.KQ.AJ52 ,s 74.QT65.A632.KT4 ,400,5,2,2,4,15,2,4,4,3,9,3N,Pass,no,no,no,no,400,0
218003, n KJT64.AK.6.AQJ92 ,s .962.AJ953.KT865 ,1400,5,2,1,5,18,0,3,5,5,8,4♥,7♣,Pass,no,no,no,1440,1
218004, n QT8652.AK6.A64.T ,s 4.QJ9743.53.KQ75 ,140,6,3,3,1,13,1,6,2,4,8,2♥,Pass,no,no,no,no,140,0
218005, n AT865.A8.A63.AQ8 ,s J7.T43.KQJ984.K7 ,920,5,2,3,3,18,2,3,6,2,10,3♠,6♦,Pass,no,no,no,920,0
218006, n AK754.Q72.AJT.97 ,s T6.T3.KQ543.AQT3 ,130,5,3,3,2,14,2,2,5,4,11,Pass,no,no,no,no,no,120,0
218007, n AK865.KT9.863.A9 ,s 2.Q73.AQJT54.T75 ,400,5,3,3,2,14,1,3,6,3,9,3N,Pass,no,no,no,no,400,0
218008, n AJ865.96.A2.KT98 ,s 4.QJT.JT7654.AJ2 ,130,5,2,2,4,12,1,3,6,3,9,2♦,Pass,no,no,no,no,130,0
218009, n AK632.A853.A9.54 ,s J7.Q7.QJ865.KQ73 ,140,5,4,2,2,15,2,2,5,4,11,2♠,Pass,no,no,no,no,140,0
218010, n KQ9743.AQJ.AQ6.2 ,s T.T87.J9543.AKQJ ,430,6,3,3,1,18,1,3,5,4,11,3N,Pass,no,no,no,no,430,0
218011, n QJ983.Q6.Q97.AK8 ,s 6.J9872.AJ82.QJ5 ,120,5,2,3,3,14,1,5,4,3,9,Pass,no,no,no,no,no,120,0
218012, n AT862.AJ54.QJ7.9 ,s 5.T83.654.AKJ765 ,100,5,4,3,1,12,1,3,3,6,8,Pass,no,no,no,no,no,90,0
218013, n KQT9542.AQ..A964 ,s 3.KJ53.KJT92.JT8 ,450,7,2,0,4,15,1,4,5,3,9,4♠,Pass,no,no,no,no,450,0
218014, n AK765.KQT.QT74.2 ,s T4.A97.9.AQJ8653 ,430,5,3,4,1,14,2,3,1,7,11,3N,Pass,no,no,no,no,430,0
218015, n AQT854.KQ32.T8.J ,s 63.764.QJ7653.KQ ,-130,6,4,2,1,12,2,3,6,2,8,2♠,Pass,no,no,no,no,-50,2
218016, n AK965.J9432.AT.A ,s Q3.7.KJ84.KQT932 ,400,5,5,2,1,16,2,1,4,6,11,3N,Pass,no,no,no,no,400,0
218017, n A8643.Q9.AQ975.8 ,s 97.J7.KJT42.K653 ,-450,5,2,5,1,12,2,2,5,4,8,3♦,Pass,no,no,no,no,110,11
218018, n KQT942.QT.K94.AQ ,s 5.752.AQJ32.K942 ,140,6,2,3,2,16,1,3,5,4,10,2♠,Pass,no,no,no,no,140,0
218019, n KQ843.A.A74.T872 ,s 2.KJT853.QT.KQ95 ,140,5,1,3,4,13,1,6,2,4,11,3♣,Pass,no,no,no,no,130,0
218020, n AKQJ2.AJ.T76.A92 ,s 9.K86.KJ83.JT865 ,460,5,2,3,3,19,1,3,4,5,8,4♠,Pass,no,no,no,no,450,0
218021, n KQT76.T32.K.AJ62 ,s 42.86.AQT532.K95 ,420,5,3,1,4,13,2,2,6,3,9,4♠,Pass,no,no,no,no,420,0
218022, n AKJ875.Q8.AKQ8.4 ,s .A963.732.AQT765 ,920,6,2,4,1,19,0,4,3,6,10,3♦,6♣,Pass,no,no,no,920,0
218023, n KQ832..A43.KQ743 ,s 97.A843.K8762.J2 ,420,5,0,3,5,14,2,4,5,2,8,4♠,Pass,no,no,no,no,420,0
218024, n AKQ76.AT3.AQ2.Q8 ,s 94.KQ85.J93.KT72 ,990,5,3,3,2,21,2,4,3,4,9,4♣,6N,Pass,no,no,no,990,0
218025, n AKQ986.Q852.Q93. ,s J4.AKJ9.2.Q98732 ,980,6,4,3,0,13,2,4,1,6,11,4♥,6♥,Pass,no,no,no,980,0
218026, n AKJ64.AK4.86.A92 ,s 9.975.A975.KQJ85 ,430,5,3,2,3,19,1,3,4,5,10,3N,Pass,no,no,no,no,430,0
218027, n KQJT64.K8.54.QJ8 ,s 7.AJT53.T983.A64 ,140,6,2,2,3,12,1,5,4,3,9,2♠,Pass,no,no,no,no,110,-1
218028, n AKT62.2.KQ93.Q65 ,s Q.Q6.AT765.97432 ,130,5,1,4,3,14,1,2,5,5,8,2♣,Pass,no,no,no,no,130,0
218029, n A8765.A4.843.AT6 ,s QT.KJ86.J9.KJ832 ,400,5,2,3,3,12,2,4,2,5,11,5♣,Pass,no,no,no,no,400,0
218030, n AKQ86.KJ5.J62.A9 ,s J5.QT732.Q.KQT85 ,450,5,3,3,2,18,2,5,1,5,10,4♥,Pass,no,no,no,no,450,0
218031, n AKT952.A82.K8.95 ,s 4.KQ97543.9.QJ32 ,300,6,3,2,2,14,1,7,1,4,8,3N,Pass,no,no,no,no,430,4
218032, n T8765.K9.K.KQJ62 ,s QJ.A2.AT8742.874 ,100,5,2,1,5,12,2,2,6,3,11,Pass,no,no,no,no,no,120,1
218033, n KQ986.KT43..AKJ2 ,s 74.A.KQJ972.8764 ,130,5,4,0,4,16,2,1,6,4,10,Pass,no,no,no,no,no,120,0
218034, n AK752.AT9.32.J32 ,s J4.Q762.AJT.KT75 ,400,5,3,2,3,12,2,4,3,4,11,3N,Pass,no,no,no,no,400,0
218035, n AKQT7.QJ9.K7.A43 ,s 83.AK64.AT986.T6 ,450,5,3,2,3,19,2,4,5,2,11,4♠,Pass,no,no,no,no,450,0
218036, n QT9864.K42.A8.K2 ,s 5.T97.KQJ9.AJT97 ,400,6,3,2,2,12,1,3,4,5,11,3N,Pass,no,no,no,no,400,0
218037, n A97542.94.A76.A4 ,s .AQJ632.5.KJ9652 ,1520,6,2,3,2,12,0,6,1,6,11,4♠,7♥,Pass,no,no,no,1510,0
218038, n K87653.A.92.KQ96 ,s AQ.7642.Q864.J72 ,-300,6,1,2,4,12,2,4,4,3,9,2♠,Pass,no,no,no,no,110,9
218039, n AQT54.53.AT62.A7 ,s J.AJ42.K9.QT6532 ,400,5,2,4,2,14,1,4,2,6,11,2♣,2♠,Pass,no,no,no,140,-6
218040, n AQ965.AK.JT6.T97 ,s .753.KQ84.AQ6543 ,460,5,2,3,3,14,0,3,4,6,11,3N,Pass,no,no,no,no,460,0
218041, n AQJ64.AJ.J974.52 ,s T.K9865.653.KQ86 ,110,5,2,4,2,13,1,5,3,4,8,2♥,Pass,no,no,no,no,110,0
218042, n AJT9754..AQJ75.Q ,s 82.J98764.2.AKT9 ,980,7,0,5,1,14,2,6,1,4,8,3N,6♠,Pass,no,no,no,980,0
218043, n AKQJ4..J973.J654 ,s 5.Q543.KQ86.Q932 ,100,5,0,4,4,12,1,4,4,4,9,2♠,Pass,no,no,no,no,110,0
218044, n KJ9732.KQ.Q5.A87 ,s T6.A854.AT983.T9 ,140,6,2,2,3,15,2,4,5,2,8,2♦,Pass,no,no,no,no,130,0
218045, n AKQ9752.64.T.KQ5 ,s T3.QJT2.753.AJT4 ,420,7,2,1,3,14,2,4,3,4,8,4♠,Pass,no,no,no,no,420,0
218046, n AK853.AJ.A7.J985 ,s 6.KQT65.QT3.K642 ,430,5,2,2,4,17,1,5,3,4,10,3N,Pass,no,no,no,no,430,0
218047, n AK8753.AQ7.Q5.83 ,s 64.KJT984.A.J954 ,420,6,3,2,2,15,2,6,1,4,9,4♥,Pass,no,no,no,no,420,0
