dealno,north,south,par,ns,nh,nd,nc,np,ss,sh,sd,sc,sp,bid1,bid2,bid3,bid4,bid5,bid6,result,imp
215001, n QJ8.A53.AJ.J9842 ,s A975.KQ9.K2.AT53 ,450,3,3,2,5,13,4,3,2,4,16,3N,4♠,Pass,no,no,no,450,0
215002, n K76.A74.873.KJ63 ,s 42.QJ.AKQJ6542.8 ,460,3,3,3,4,11,2,2,8,1,13,3N,Pass,no,no,no,no,460,0
215003, n AQ9854.A7.K943.7 ,s T7.JT943.AJ8.KQT ,120,6,2,4,1,13,2,5,3,3,11,1♥,Pass,no,no,no,no,110,0
215004, n T983.AQ763.A2.Q6 ,s AK54.98.KJ75.J74 ,420,4,5,2,2,12,4,2,4,3,12,3N,4♠,Pass,no,no,no,420,0
215005, n AKQ74.AQ.97.9632 ,s J63.K972.AQ863.7 ,420,5,2,2,4,15,3,4,5,1,10,3N,4♠,Pass,no,no,no,420,0
215006, n Q95.AK98.A93.T82 ,s J764.65.QJ82.AQ3 ,110,3,4,3,3,13,4,2,4,3,10,1♠,Pass,no,no,no,no,110,0
215007, n K873.J9.AQ.QJ963 ,s 96.K6.JT8543.AK7 ,-100,4,2,2,5,13,2,2,6,3,11,1N,Pass,no,no,no,no,120,6
215008, n AQT.K74.KJ63.KJ4 ,s J932.AJT.QT92.Q7 ,460,3,3,4,3,17,4,3,4,2,10,3N,Pass,no,no,no,no,460,0
215009, n AT75.32.A87.AJ42 ,s KQ6.AQ74.QJT92.5 ,920,4,2,3,4,13,3,4,5,1,14,3N,6♦,Pass,no,no,no,920,0
215010, n K6.AKQ43.KT3.A86 ,s AQ732.J2.652.754 ,430,2,5,3,3,19,5,2,3,3,7,3N,Pass,no,no,no,no,430,0
215011, n AQJ65.762.A3.KQ8 ,s 83.K3.K9742.9642 ,400,5,3,2,3,16,2,2,5,4,6,3N,Pass,no,no,no,no,400,0
215012, n AJ843.KQ5.K9.K93 ,s T6.8732.AQ.T8764 ,100,5,3,2,3,16,2,4,2,5,6,1♥,Pass,no,no,no,no,110,0
215013, n QJ97.K86.A5.K743 ,s KT85.A532.K.QJ52 ,140,4,3,2,4,13,4,4,1,4,13,1♠,Pass,no,no,no,no,140,0
215014, n AKQ62.KQ9653.AT. ,s J743..87642.A532 ,1510,5,6,2,0,18,4,0,5,4,5,1♠,4♠,7♠,Pass,no,no,1510,0
215015, n AJT76.J.KQJ.QJ84 ,s K.5.AT9543.AT753 ,920,5,1,3,4,15,1,1,6,5,11,3N,6♣,Pass,no,no,no,920,0
215016, n AJT.A8764.KT73.8 ,s Q742.JT9.J6.AQ97 ,420,3,5,4,1,12,4,3,2,4,10,1♥,4♥,Pass,no,no,no,420,0
215017, n AQ.AKT95.K6.J432 ,s J8652.4.AQ3.AT95 ,920,2,5,2,4,17,5,1,3,4,11,1♠,1N,2♣,3N,Pass,no,460,-10
215018, n AQ.T654.AT86.Q75 ,s 75.AQ93.Q4.AT642 ,140,2,4,4,3,12,2,4,2,5,12,1♥,Pass,no,no,no,no,140,0
215019, n AKJ4.A9.4.AQT985 ,s Q9752.QJ643.JT.7 ,980,4,2,1,6,18,5,5,2,1,6,3N,6♠,Pass,no,no,no,980,0
215020, n A762.97.AK852.T6 ,s KQT5.AKQJ53.3.52 ,450,4,2,5,2,11,4,6,1,2,15,1♠,4♠,Pass,no,no,no,450,0
215021, n K974.Q753.QJ2.A6 ,s AQ6532.4.864.KT5 ,300,4,4,3,2,12,6,1,3,3,9,1♠,4♠,Pass,no,no,no,420,3
215022, n Q6.K62.KQT765.A2 ,s 8743.QJT.A2.KQ98 ,130,2,3,6,2,14,4,3,2,4,12,1♦,Pass,no,no,no,no,130,0
215023, n K9.K94.KT53.KT74 ,s A85.Q7.AQ72.Q532 ,430,2,3,4,4,12,3,2,4,4,14,3N,Pass,no,no,no,no,430,0
215024, n 74.AK543.A2.7543 ,s AT6.QT8.73.KQJ96 ,300,2,5,2,4,11,3,3,2,5,12,1♥,4♥,Pass,no,no,no,420,3
215025, n AK3.Q86.K86.AJT4 ,s 98742.AK9.4.9865 ,420,3,3,3,4,17,5,3,1,4,7,1♠,4♠,Pass,no,no,no,420,0
215026, n T7.K864.KJ964.AK ,s QJ986.A.Q3.JT954 ,420,2,4,5,2,14,5,1,2,5,10,1♠,4♠,Pass,no,no,no,420,0
215027, n AQJ974.K5.93.KQ7 ,s K8652..QJT4.J984 ,300,6,2,2,3,15,5,0,4,4,7,1♠,4♠,Pass,no,no,no,420,3
215028, n AJ87.AQT43.K87.3 ,s T3.K8.9542.AT754 ,140,4,5,3,1,14,2,2,4,5,7,1♥,Pass,no,no,no,no,140,0
215029, n T5.AJ9.QJT32.A52 ,s K.875.K95.KQJ983 ,100,2,3,5,3,12,1,3,3,6,12,1♦,Pass,no,no,no,no,130,1
215030, n QJ75.K.A63.KJT63 ,s A84.AQT8653.K9.Q ,990,4,1,3,5,14,3,7,2,1,15,1♥,1♠,2♥,5♥,Pass,no,450,-11
215031, n KJT54.Q.AJ975.A3 ,s A73.A32.42.QT982 ,450,5,1,5,2,15,3,3,2,5,10,1♠,4♠,Pass,no,no,no,450,0
215032, n 76.AT.AKQ4.KQ863 ,s 94.K532.9865.J72 ,100,2,2,4,5,18,2,4,4,3,4,1♣,Pass,no,no,no,no,90,0
215033, n AT5.AKJ.AK9865.Q ,s KJ8763.873.43.72 ,450,3,3,6,1,21,6,3,2,2,4,1♠,4♠,Pass,no,no,no,450,0
215034, n K86.42.AKJ632.A5 ,s QT4.AQT3.974.QJ3 ,990,3,2,6,2,15,3,4,3,3,11,3N,6N,Pass,no,no,no,990,0
215035, n AK832.Q5.AK2.Q97 ,s Q9.KJ76.J965.J63 ,400,5,2,3,3,18,2,4,4,3,8,3N,Pass,no,no,no,no,400,0
215036, n AQJ76.KJ3.J7.A76 ,s 98.QT87652.A.984 ,-100,5,3,2,3,16,2,7,1,3,6,1♥,Pass,no,no,no,no,140,6
215037, n A7.Q974.T643.AQ3 ,s K983.KJ853.AQ9.7 ,980,2,4,4,3,12,4,5,3,1,13,3N,6♥,Pass,no,no,no,980,0
215038, n K6.AKQ3.Q.AQJ642 ,s A92.T92.AK94.T97 ,1520,2,4,1,6,21,3,3,4,3,11,3N,7♣,7N,Pass,no,no,1520,0
215039, n K42.AKJ5.9742.95 ,s JT6.Q4.AKJ3.T876 ,90,3,4,4,2,11,3,2,4,4,11,1♦,Pass,no,no,no,no,90,0
215040, n K98.KJ.QT653.Q63 ,s QT63.T4.AK92.A52 ,-100,3,2,5,3,11,4,2,4,3,13,1♠,Pass,no,no,no,no,110,5
215041, n KQT2.AT74.63.AK9 ,s J6.532.AT974.Q85 ,140,4,4,2,3,16,2,3,5,3,7,1♥,Pass,no,no,no,no,140,0
215042, n KQJ98.K62.AKJ6.8 ,s T65.AJT94.73.KJ4 ,460,5,3,4,1,17,3,5,2,3,9,3N,Pass,no,no,no,no,460,0
215043, n Q87.AJ4.A43.AJ97 ,s AK962.T2.QT752.8 ,460,3,3,3,4,16,5,2,5,1,9,3N,Pass,no,no,no,no,460,0
215044, n AQJ8.K8.J976.KT6 ,s KT94.AQ6532.A85. ,1510,4,2,4,3,14,4,6,3,0,13,1♠,4♠,7♠,Pass,no,no,1510,0
215045, n JT73.AKJ7.K.Q532 ,s Q42.Q952.Q42.AKJ ,420,4,4,1,4,14,3,4,3,3,14,3N,4♥,Pass,no,no,no,420,0
215046, n KJ3.KQ764.AQT6.J ,s 8542.9.92.AQT952 ,110,3,5,4,1,16,4,1,2,6,6,1♠,Pass,no,no,no,no,110,0
215047, n A654.Q9.A72.A543 ,s .KT6.KQJ985.KJ86 ,800,4,2,3,4,14,0,3,6,4,13,1♥,2♣,2♦,5♦,Pass,no,400,-9
215048, n KQ8.AT8.Q873.J82 ,s AJT943.KQ3.A4.96 ,420,3,3,4,3,12,6,3,2,2,14,3N,4♠,Pass,no,no,no,420,0
215049, n AKT943.AQ.QJ7.JT ,s 7.T865.963.AQ543 ,430,6,2,3,2,17,1,4,3,5,6,3N,Pass,no,no,no,no,430,0
215050, n A942.KJT54.6.KQ7 ,s K53.Q9.KJ92.T643 ,400,4,5,1,3,13,3,2,4,4,9,3N,Pass,no,no,no,no,400,0
215051, n A9.T82.KQT62.Q98 ,s KQT864.A743.J4.A ,460,2,3,5,3,11,6,4,2,1,14,3N,Pass,no,no,no,no,460,0
215052, n AKQT2.KJ4.K.T642 ,s 9765.Q7.T7654.A3 ,420,5,3,1,4,16,4,2,5,2,6,1♠,4♠,Pass,no,no,no,420,0
215053, n Q74.AKJ52.K.AJ82 ,s J98.T63.AQ732.Q4 ,400,3,5,1,4,18,3,3,5,2,9,3N,Pass,no,no,no,no,400,0
215054, n A32.96.K852.KQJ5 ,s KQ6.AK754.Q64.93 ,420,3,2,4,4,13,3,5,3,2,14,3N,4♥,Pass,no,no,no,420,0
215055, n AKT632.Q74.A.872 ,s J4.J82.742.AKT96 ,460,6,3,1,3,13,2,3,3,5,9,3N,Pass,no,no,no,no,460,0
215056, n KQ.A3.AK7642.A73 ,s JT42.QT54.JT9.Q5 ,130,2,2,6,3,20,4,4,3,2,6,1♦,Pass,no,no,no,no,130,0
215057, n AK84.AJ2.92.AQ92 ,s J732.8.AQ7643.J3 ,980,4,3,2,4,18,4,1,6,2,8,3N,6♠,Pass,no,no,no,980,0
215058, n 9862.AQ3.KQ87.Q2 ,s K43.KJT5.J653.85 ,100,4,3,4,2,13,3,4,4,2,8,1♥,Pass,no,no,no,no,110,0
215059, n 5.AKJ74.JT96.KQ4 ,s Q83.2.A872.AJ732 ,430,1,5,4,3,14,3,1,4,5,11,3N,Pass,no,no,no,no,430,0
215060, n A.73.AK96532.732 ,s K8.KT86.QJ.KQJ65 ,-100,1,2,7,3,11,2,4,2,5,15,3N,Pass,no,no,no,no,400,11
215061, n KJ8.K4.AT854.J64 ,s Q743.75.J9.AKQT7 ,140,3,2,5,3,12,4,2,2,5,12,1♠,Pass,no,no,no,no,140,0
215062, n Q9.J64.AKQT972.6 ,s 875432.Q2.8.AKT7 ,110,2,3,7,1,12,6,2,1,4,9,1♦,Pass,no,no,no,no,110,0
215063, n K95.QJ97.KQ97.72 ,s A.AT53.A4.Q98643 ,300,3,4,4,2,11,1,4,2,6,14,3N,Pass,no,no,no,no,400,3
215064, n AT.Q2.AKQT54.T73 ,s 4.AKT87.J632.AK9 ,1520,2,2,6,3,15,1,5,4,3,15,3N,4♠,7♥,Pass,no,no,1510,0
