dealno,north,nhcp,south,shcp,par,ns,nh,nd,nc,np,ss,sh,sd,sc,sp,bid1,bid2,bid3,bid4,bid5,bid6,result,imp
218003, n KJT64.AK.6.AQJ92 ,18,s .962.AJ953.KT865 ,8,1400,5,2,1,5,18,0,3,5,5,8,5♣,7♣,Pass,no,no,no,1440,1
218004, n QT8652.AK6.A64.T ,13,s 4.QJ9743.53.KQ75 ,8,140,6,3,3,1,13,1,6,2,4,8,2♥,Pass,no,no,no,no,140,0
218005, n AT865.A8.A63.AQ8 ,18,s J7.T43.KQJ984.K7 ,10,920,5,2,3,3,18,2,3,6,2,10,3♥,6♦,Pass,no,no,no,920,0
218006, n AK754.Q72.AJT.97 ,14,s T6.T3.KQ543.AQT3 ,11,130,5,3,3,2,14,2,2,5,4,11,Pass,no,no,no,no,no,120,0
218007, n AK865.KT9.863.A9 ,14,s 2.Q73.AQJT54.T75 ,9,400,5,3,3,2,14,1,3,6,3,9,3N,Pass,no,no,no,no,400,0
218008, n AJ865.96.A2.KT98 ,12,s 4.QJT.JT7654.AJ2 ,9,130,5,2,2,4,12,1,3,6,3,9,2♦,Pass,no,no,no,no,130,0
218009, n AK632.A853.A9.54 ,15,s J7.Q7.QJ865.KQ73 ,11,140,5,4,2,2,15,2,2,5,4,11,2♠,Pass,no,no,no,no,140,0
218010, n KQ9743.AQJ.AQ6.2 ,18,s T.T87.J9543.AKQJ ,11,430,6,3,3,1,18,1,3,5,4,11,3N,Pass,no,no,no,no,430,0
218011, n QJ983.Q6.Q97.AK8 ,14,s 6.J9872.AJ82.QJ5 ,9,120,5,2,3,3,14,1,5,4,3,9,Pass,no,no,no,no,no,120,0
218012, n AT862.AJ54.QJ7.9 ,12,s 5.T83.654.AKJ765 ,8,100,5,4,3,1,12,1,3,3,6,8,Pass,no,no,no,no,no,90,0
218013, n KQT9542.AQ..A964 ,15,s 3.KJ53.KJT92.JT8 ,9,450,7,2,0,4,15,1,4,5,3,9,4♠,Pass,no,no,no,no,450,0
218014, n AK765.KQT.QT74.2 ,14,s T4.A97.9.AQJ8653 ,11,430,5,3,4,1,14,2,3,1,7,11,3N,Pass,no,no,no,no,430,0
218015, n AQT854.KQ32.T8.J ,12,s 63.764.QJ7653.KQ ,8,-130,6,4,2,1,12,2,3,6,2,8,2♠,Pass,no,no,no,no,-50,2
218016, n AK965.J9432.AT.A ,16,s Q3.7.KJ84.KQT932 ,11,400,5,5,2,1,16,2,1,4,6,11,3N,Pass,no,no,no,no,400,0
218017, n A8643.Q9.AQ975.8 ,12,s 97.J7.KJT42.K653 ,8,-450,5,2,5,1,12,2,2,5,4,8,3♦,Pass,no,no,no,no,110,11
